
12-13-2016 21:04:52.615 [main] INFO  c.h.NISTTestRunner Groovy - multiplicationOfZeroIntegersShouldReturnZero(com.haat.xsd.NISTxsdTest): X should be less than 1000
12-13-2016 21:04:52.618 [main] INFO  c.h.NISTTestRunner Groovy - testMultiply(com.haat.xsd.NISTxsdTest): 10 x 5 must be 50 expected:<50> but was:<2>
12-13-2016 21:06:59.454 [main] INFO  c.h.NISTTestRunner Groovy - Operation Failed multiplicationOfZeroIntegersShouldReturnZero(com.haat.xsd.NISTxsdTest): X should be less than 1000
12-13-2016 21:06:59.459 [main] INFO  c.h.NISTTestRunner Groovy - Operation Failed testMultiply(com.haat.xsd.NISTxsdTest): 10 x 5 must be 50 expected:<50> but was:<2>
12-13-2016 21:08:24.096 [main] INFO  c.h.NISTTestRunner Groovy - Failure MessagemultiplicationOfZeroIntegersShouldReturnZero(com.haat.xsd.NISTxsdTest): X should be less than 1000
12-13-2016 21:08:24.101 [main] INFO  c.h.NISTTestRunner Groovy - Failure MessagetestMultiply(com.haat.xsd.NISTxsdTest): 10 x 5 must be 50 expected:<50> but was:<2>
12-13-2016 21:08:46.985 [main] INFO  c.h.NISTTestRunner Groovy - Failure Message:  multiplicationOfZeroIntegersShouldReturnZero(com.haat.xsd.NISTxsdTest): X should be less than 1000
12-13-2016 21:08:46.990 [main] INFO  c.h.NISTTestRunner Groovy - Failure Message:  testMultiply(com.haat.xsd.NISTxsdTest): 10 x 5 must be 50 expected:<50> but was:<2>
12-13-2016 21:59:12.951 [main] INFO  c.h.NISTTestRunner Groovy - Failure Message:  multiplicationOfZeroIntegersShouldReturnZero(com.haat.xsd.NISTxsdTest): X should be less than 1000
12-13-2016 21:59:12.955 [main] INFO  c.h.NISTTestRunner Groovy - Failure Message:  testMultiply(com.haat.xsd.NISTxsdTest): 10 x 5 must be 50 expected:<50> but was:<2>
12-13-2016 22:10:00.171 [main] INFO  c.h.x.NISTTestRunner Groovy - Failure Message:  multiplicationOfZeroIntegersShouldReturnZero(com.haat.xsd.NISTxsdTest): X should be less than 1000
12-13-2016 22:10:00.179 [main] INFO  c.h.x.NISTTestRunner Groovy - Failure Message:  testMultiply(com.haat.xsd.NISTxsdTest): 10 x 5 must be 50 expected:<50> but was:<2>
12-13-2016 22:13:00.593 [Test worker] INFO  c.h.x.NISTTestRunner Groovy - Failure Message:  initializationError(com.haat.xsd.NISTxsdTest): No runnable methods
12-13-2016 22:17:18.199 [main] INFO  c.h.NISTTestRunner Groovy - Failure Message:  multiplicationOfZeroIntegersShouldReturnZero(com.haat.runtest.NISTxsdTest): X should be less than 1000
12-13-2016 22:17:18.202 [main] INFO  c.h.NISTTestRunner Groovy - Failure Message:  testMultiply(com.haat.runtest.NISTxsdTest): 10 x 5 must be 50 expected:<50> but was:<2>
12-13-2016 22:21:34.855 [main] INFO  c.h.r.NISTTestRunner Groovy - Failure Message:  multiplicationOfZeroIntegersShouldReturnZero(com.haat.runtest.NISTxsdTest): X should be less than 1000
12-13-2016 22:21:34.859 [main] INFO  c.h.r.NISTTestRunner Groovy - Failure Message:  testMultiply(com.haat.runtest.NISTxsdTest): 10 x 5 must be 50 expected:<50> but was:<2>
12-13-2016 22:23:44.567 [main] INFO  c.NISTTestRunner Groovy - Failure Message:  multiplicationOfZeroIntegersShouldReturnZero(com.haat.xsdt.NISTxsdTest): X should be less than 1000
12-13-2016 22:23:44.570 [main] INFO  c.NISTTestRunner Groovy - Failure Message:  testMultiply(com.haat.xsdt.NISTxsdTest): 10 x 5 must be 50 expected:<50> but was:<2>
12-14-2016 10:29:08.430 [main] INFO  c.NISTTestRunner Groovy - Failure Message:  multiplicationOfZeroIntegersShouldReturnZero(com.haat.xsdt.NISTxsdTest): X should be less than 1000
12-14-2016 10:29:08.441 [main] INFO  c.NISTTestRunner Groovy - Failure Message:  testMultiply(com.haat.xsdt.NISTxsdTest): 10 x 5 must be 50 expected:<50> but was:<2>
12-15-2016 14:58:26.480 [main] INFO  c.NISTTestRunner Groovy - Failure Message:  multiplicationOfZeroIntegersShouldReturnZero(com.haat.xsdt.NISTxsdTest): X should be less than 1000
12-15-2016 14:58:26.490 [main] INFO  c.NISTTestRunner Groovy - Failure Message:  testMultiply(com.haat.xsdt.NISTxsdTest): 10 x 5 must be 50 expected:<50> but was:<2>
